Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,nonsignificant
NOS3,2330.906071279601,-8.094862626869357,0.6585935515166509,-12.291135569469205,1.010760948212903e-34,1.440031122918923e-30,True,False
ZNF836,64.9477263400427,-4.391820828296815,0.45222758412587183,-9.711527961714088,2.6926985071803836e-22,1.918143781589946e-18,True,False
CISH,602.7042085744005,2.324258341952022,0.25168449038557833,9.234809576034182,2.5874583947790754e-20,1.228783991680583e-16,True,False
RPS27L,111.27950323389071,-4.5963126905280225,0.5302974198048577,-8.667424201723259,4.420057028001463e-18,1.5743138119484212e-14,True,False
ZNF761,59.93501189249098,5.637856076062583,0.6682288011183812,8.43701448759285,3.2554612426075144e-17,9.276111264685852e-14,True,False
ADGRE2,76.12990402156424,-6.167012218959556,0.7806850620143251,-7.899487922885855,2.8005156933025847e-15,6.649824513746987e-12,True,False
PAM,60.897736138436166,-2.6694538737559315,0.37490721578840813,-7.120305401810485,1.0768817756202378e-12,1.7047038508068364e-09,True,False
FARP1,23.669595143485317,-3.738832842543869,0.5434934340487481,-6.87926037062026,6.01641088686332e-12,7.142983825428477e-09,True,False
CFAP45,18.262407077799804,-1.005364223901126,0.14861208970925624,-6.765023127445514,1.3328790586238082e-11,1.4607329190933381e-08,True,False
SDHA,609.9738510734688,-1.828149393352393,0.27563681675779994,-6.632457212560158,3.301440603421567e-11,3.3596874483533614e-08,True,False
ZMPSTE24,168.53414954305308,-3.250176363504906,0.5248693570586487,-6.192353048992594,5.927260233358686e-10,4.4445092918242736e-07,True,False
HSD17B2,8.033893272180512,-5.251624327695784,0.874913125267588,-6.0024523304409225,1.943593342737392e-09,1.2586533797263465e-06,True,False
ARL11,6.407615945722344,3.238589813273966,0.542942901166933,5.964881033186638,2.448123433807477e-09,1.516452807019788e-06,True,False
DEF8,17.913454281060268,-2.35379307532237,0.40460439543508475,-5.817517312908222,5.972807759949134e-09,3.2728689290767428e-06,True,False
FLT1,23.035617178672677,-5.17007604045199,0.8980563586174871,-5.756961677116861,8.564134314843881e-09,4.207352468399338e-06,True,False
ECH1,11.878773180734271,3.927515961439811,0.7172852939146719,5.475528349403226,4.362081171657972e-08,1.6354360645423982e-05,True,False
SLC14A2,3.503881809514558,-3.4029445191594574,0.6292465124081509,-5.4079672307380084,6.374408355330524e-08,2.1449003186802484e-05,True,False
CXADR,16.011753818517285,-3.1266729546249925,0.5819502308815089,-5.372749745092231,7.754491672982473e-08,2.5108691560223022e-05,True,False
ADGRF1,16.558790322036092,-1.9242601704473834,0.3608435923505886,-5.3326710276673275,9.677854620102793e-08,3.064008772724545e-05,True,False
OR2A25,8.330988260061643,-5.2361001455099965,0.9841245163077512,-5.320566715637623,1.0344450471752497e-07,3.0739092232502524e-05,True,False
CBLB,300.26346574756974,-1.1629932920743469,0.22011532543497123,-5.283563467360343,1.2669494296840624e-07,3.5950573921268135e-05,True,False
H2BC7,11.434882718102774,2.2233423591219132,0.4238594598574133,5.245470656405422,1.5588386966875024e-07,4.112736094760527e-05,True,False
OR13D1,32.64808379860224,-8.069311245650136,1.5689795159735767,-5.143031609716715,2.70340115077166e-07,6.0180244054755995e-05,True,False
ZFHX2,2.3105558049713695,2.3508712416474005,0.4644395871325073,5.0617374288912265,4.1545293656000873e-07,8.968118162379461e-05,True,False
NCR3LG1,27.76102589552902,-1.063125051469748,0.21476451847294295,-4.950189440178338,7.414127808902331e-07,0.00014469736834716644,True,False
